EDAD,Básico,Pér. Org.,Muerte Acc,Muerte Acc Col,Invalidez,Otros,Certificados,Reaseguro
67, 514 , -   , -   , -   , -   , -   ,1,Facultativo
60, 516 , -   , -   , -   , -   , -   ,1,Automático
46, 518 , -   , -   , -   , -   , -   ,1,Automático
29, 520 , -   , -   , -   , 520 , -   ,1,Automático
46, 521 , -   , -   , -   , -   , -   ,1,Automático
48, 523 , -   , -   , -   , -   , -   ,1,Automático
52, 523 , -   , -   , -   , -   , -   ,1,Automático
62, 524 , -   , -   , -   , -   , -   ,1,Facultativo
30, 529 , -   , -   , -   , -   , -   ,1,Automático
31, 529 , -   , -   , -   , -   , -   ,1,Automático
60, 531 , -   , -   , -   , 531 , -   ,1,Automático
62, 531 , -   , -   , -   , 531 , -   , 1 ,Automático
31, 532 , -   , -   , -   , -   , -   ,1,Automático
66, 533 , -   , -   , -   , -   , -   , 1 ,Automático
28, 542 , -   , -   , -   , -   , -   ,1,Automático
35, 543 , -   , -   , -   , 543 , -   ,1,Automático
42, 543 , -   , -   , -   , -   , -   ,1,Automático
82, 543 , -   , -   , -   , -   , -   ,1,Automático
45, 544 , -   , -   , -   , 544 , -   ,1,Automático
57, 544 , -   , -   , -   , -   , -   ,1,Automático
47, 544 , -   , -   , -   , -   , -   ,1,Automático
32, 547 , -   , -   , -   , -   , -   ,1,Automático
57, 547 , -   , -   , -   , -   , -   ,1,Facultativo
53, 551 , -   , -   , -   , -   , -   ,1,Automático
36, 552 , -   , -   , -   , 552 , -   ,1,Automático
52, 554 , -   , -   , -   , -   , -   ,1,Automático
39, 555 , -   , -   , -   , -   , -   ,1,Automático
53, 558 , -   , -   , -   , -   , -   ,1,Automático
29, 559 , -   , -   , -   , 559 , -   ,1,Automático
51, 563 , -   , -   , -   , 563 , -   ,1,Automático
44, 564 , -   , -   , -   , -   , -   ,1,Automático
38, 566 , -   , -   , -   , -   , -   ,1,Facultativo
57, 567 , -   , -   , -   , -   , -   ,1,Automático
33, 568 , -   , -   , -   , 568 , -   ,1,Automático
44, 568 , -   , -   , -   , -   , -   ,1,Automático
50, 570 , -   , -   , -   , -   , -   ,1,Automático
60, 570 , -   , -   , -   , -   , -   ,1,Automático
70, 571 , -   , -   , -   , -   , -   ,1,Automático
55, 571 , -   , -   , -   , -   , -   ,1,Automático
65, 572 , -   , -   , -   , -   , -   , 1 ,Automático
62, 575 , -   , -   , -   , -   , -   , 1 ,Automático
33, 580 , -   , -   , -   , -   , -   ,2,Automático
54, 580 , -   , -   , -   , 580 , -   ,1,Automático
39, 583 , -   , -   , -   , -   , -   ,1,Automático
42, 592 , -   , -   , -   , -   , -   ,1,Facultativo
33, 594 , -   , -   , -   , -   , -   ,1,Automático
58, 597 , -   , -   , -   , -   , -   ,1,Facultativo
57, 600 , -   , -   , -   , -   , -   ,1,Automático
38, 600 , -   , -   , -   , 600 , -   ,1,Automático
48, 601 , -   , -   , -   , 601 , -   ,1,Automático
68, 602 , -   , -   , -   , 602 , -   ,1,Automático
64, 602 , -   , -   , -   , 602 , -   , 1 ,Automático
52, 604 , -   , -   , -   , -   , -   ,1,Automático
61, 609 , -   , -   , -   , -   , -   ,1,Automático
51, 610 , -   , -   , -   , -   , -   ,1,Automático
53, 611 , -   , -   , -   , -   , -   ,1,Automático
61, 611 , -   , -   , -   , -   , -   ,1,Facultativo
39, 613 , -   , -   , -   , 613 , -   ,1,Automático
53, 614 , -   , -   , -   , -   , -   ,1,Automático
43, 617 , -   , -   , -   , -   , -   ,1,Automático
73, 621 , -   , -   , -   , -   , -   ,1,Automático
57, 622 , -   , -   , -   , -   , -   ,1,Automático
47, 624 , -   , -   , -   , 624 , -   ,1,Automático
56, 628 , -   , -   , -   , -   , -   ,1,Automático
52, 634 , -   , -   , -   , -   , -   ,1,Automático
43, 635 , -   , -   , -   , -   , -   ,1,Facultativo
37, 640 , -   , -   , -   , -   , -   ,1,Facultativo
52, 644 , -   , -   , -   , -   , -   ,1,Automático
39, 644 , -   , -   , -   , 644 , -   ,1,Automático
61, 644 , -   , -   , -   , -   , -   ,1,Automático
29, 647 , -   , -   , -   , -   , -   ,1,Automático
31, 648 , -   , -   , -   , 648 , -   ,1,Automático
76, 650 , -   , -   , -   , -   , -   ,1,Automático
22, 653 , -   , -   , -   , -   , -   ,1,Automático
55, 654 , -   , -   , -   , -   , -   ,1,Facultativo
62, 654 , -   , -   , -   , -   , -   ,1,Facultativo
49, 657 , -   , -   , -   , -   , -   ,1,Automático
80, 658 , -   , -   , -   , 658 , -   ,1,Automático
29, 662 , -   , -   , -   , 662 , -   ,1,Automático
40, 663 , -   , -   , -   , -   , -   ,1,Automático
42, 663 , -   , -   , -   , -   , -   ,1,Automático
46, 675 , -   , -   , -   , -   , -   ,1,Automático
43, 677 , -   , -   , -   , -   , -   ,1,Automático
39, 685 , -   , -   , -   , -   , -   ,2,Automático
42, 686 , -   , -   , -   , -   , -   ,1,Automático
60, 686 , -   , -   , -   , -   , -   ,1,Facultativo
62, 687 , -   , -   , -   , -   , -   , 1 ,Automático
48, 689 , -   , -   , -   , -   , -   ,1,Automático
33, 690 , -   , -   , -   , -   , -   ,1,Automático
48, 690 , -   , -   , -   , -   , -   ,1,Automático
61, 690 , -   , -   , -   , -   , -   ,1,Automático
24, 691 , -   , -   , -   , -   , -   ,1,Automático
29, 691 , -   , -   , -   , 691 , -   ,1,Automático
56, 692 , -   , -   , -   , -   , -   ,1,Automático
51, 699 , -   , -   , -   , -   , -   ,1,Automático
38, 700 , -   , -   , -   , -   , -   ,1,Automático
39, 702 , -   , -   , -   , -   , -   ,1,Automático
41, 703 , -   , -   , -   , -   , -   ,1,Automático
61, 704 , -   , -   , -   , -   , -   ,1,Automático
